Year,Quantity
1961,51342
1962,47382
1963,55579
1964,33752
1965,55681
1966,55704
1967,73400
1968,47811
1969,67319
1970,41854
1971,78190
1972,41646
1973,81354
1974,67374
1975,79748
1976,128525
1977,106775
1978,132540
1979,92800
1980,243850
1981,165830
1982,214730
1983,248570
1984,208200
1985,171000
1986,274900
1987,189600
1988,175100
1989,126100
1990,141500
1991,167800
1992,264535
1993,130362
1994,158750
1995,172360
1996,173000
1997,161270
1998,144500
1999,166288
2000,217091
2001,202570
2002,180894
2003,211737
2004,162749
2005,283405
2006,247000
2007,193100
2008,105230
2009,270813
2010,158150
2011,205432
2012,238495
2013,166106
2014,179124
2015,207750
2016,124860
2017,132730